,accurary_score,epoch,f1_score_weighted,precision_score_weighted,prediction_type,recall_score_weighted
0,0.585129963938729,1,0.5874411398514051,0.6589313778853876,predictions on style transfer text,0.5874411398514051
1,0.5315122575237927,1,0.5315122575237927,0.5315122575237927,random baseline,0.5315122575237927
2,0.4148700360612711,1,0.41832203802213624,0.42217673296847147,inverted baseline,0.4148700360612711
3,0.6289989964600403,2,0.6345088506131369,0.6477302443370183,predictions on style transfer text,0.6345088506131369
4,0.5329899976841386,2,0.5329899976841386,0.5329899976841386,random baseline,0.5329899976841386
5,0.37100100353995963,2,0.3800917166412914,0.41395810308168585,inverted baseline,0.37100100353995963
6,0.6177505265827811,3,0.6240980122869088,0.6597199724805053,predictions on style transfer text,0.6240980122869088
7,0.5355484731856328,3,0.5355484731856328,0.5355484731856328,random baseline,0.5355484731856328
8,0.382249473417219,3,0.3926376687219065,0.4112795919361674,inverted baseline,0.382249473417219
9,0.6668026775769472,4,0.6713712707582309,0.6821630922439665,predictions on style transfer text,0.6713712707582309
10,0.5363424828240276,4,0.5363424828240276,0.5363424828240276,random baseline,0.5363424828240276
11,0.3331973224230527,4,0.3420459504503371,0.37595613283218887,inverted baseline,0.3331973224230527
12,0.6329800725636586,5,0.639185295295018,0.672770140499438,predictions on style transfer text,0.639185295295018
13,0.5362542595308727,5,0.5362542595308727,0.5362542595308727,random baseline,0.5362542595308727
14,0.3670199274363414,5,0.37781899803481334,0.3976001861881526,inverted baseline,0.3670199274363414
15,0.5991795233736588,6,0.6059610546008662,0.6267415286433202,predictions on style transfer text,0.6059610546008662
16,0.5336296165595121,6,0.5336296165595121,0.5336296165595121,random baseline,0.5336296165595121
17,0.4008204766263413,6,0.41084457132888547,0.43910692167389664,inverted baseline,0.4008204766263413
18,0.5979664530927778,7,0.6040847264247127,0.646535931137955,predictions on style transfer text,0.6040847264247127
19,0.5319974856361451,7,0.5319974856361451,0.5319974856361451,random baseline,0.5319974856361451
20,0.4020335469072222,7,0.41134552892950965,0.42636146976650785,inverted baseline,0.4020335469072222
21,0.5640445968746899,8,0.5700110152428979,0.6166365930839368,predictions on style transfer text,0.5700110152428979
22,0.5334311141499134,8,0.5334311141499134,0.5334311141499134,random baseline,0.5334311141499134
23,0.43595540312531017,8,0.4439168855667318,0.45614163893463283,inverted baseline,0.43595540312531017
24,0.6130746920455673,9,0.6169803457422799,0.623252237541725,predictions on style transfer text,0.6169803457422799
25,0.5336957840293783,9,0.5336957840293783,0.5336957840293783,random baseline,0.5336957840293783
26,0.3869253079544327,9,0.39283647974222036,0.4363133723420523,inverted baseline,0.3869253079544327
27,0.6302010388292769,10,0.6363343537205679,0.6724929646440665,predictions on style transfer text,0.6363343537205679
28,0.5340927888485757,10,0.5340927888485757,0.5340927888485757,random baseline,0.5340927888485757
29,0.3697989611707231,10,0.38038588723694444,0.3988733390175488,inverted baseline,0.3697989611707231
30,0.5573396265949118,11,0.5640127272532338,0.6051939688068716,predictions on style transfer text,0.5640127272532338
31,0.5319974856361451,11,0.5319974856361451,0.5319974856361451,random baseline,0.5319974856361451
32,0.4426603734050883,11,0.45126512813121056,0.46598816044131874,inverted baseline,0.4426603734050883
33,0.6196804111205461,12,0.6262514120989715,0.6524487369600098,predictions on style transfer text,0.6262514120989715
34,0.5349750217801255,12,0.5349750217801255,0.5349750217801255,random baseline,0.5349750217801255
35,0.3803195888794539,12,0.39100505550372705,0.41501479161948723,inverted baseline,0.3803195888794539
36,0.6012527707628007,13,0.6077487968946478,0.6448819905626154,predictions on style transfer text,0.6077487968946478
37,0.5353058591294566,13,0.5353058591294566,0.5353058591294566,random baseline,0.5353058591294566
38,0.39874722923719935,13,0.408695598539655,0.4263750482438132,inverted baseline,0.39874722923719935
39,0.5749070898443962,14,0.5822503031147397,0.6075050914483281,predictions on style transfer text,0.5822503031147397
40,0.5314240342306378,14,0.5314240342306378,0.5314240342306378,random baseline,0.5314240342306378
41,0.42509291015560385,14,0.4349999688457666,0.46006692608572364,inverted baseline,0.42509291015560385
