,accurary_score,epoch,f1_score_weighted,precision_score_weighted,prediction_type,recall_score_weighted
0,0.585129963938729,1,0.5874411398514051,0.6589313778853876,predictions on style transfer text,0.5874411398514051
1,0.5328135510978286,1,0.5328135510978286,0.5328135510978286,random baseline,0.5328135510978286
2,0.4148700360612711,1,0.41832203802213624,0.42217673296847147,inverted baseline,0.4148700360612711
3,0.6289989964600403,2,0.6345088506131369,0.6477302443370183,predictions on style transfer text,0.6345088506131369
4,0.5323944904553425,2,0.5323944904553425,0.5323944904553425,random baseline,0.5323944904553425
5,0.37100100353995963,2,0.3800917166412914,0.41395810308168585,inverted baseline,0.37100100353995963
6,0.6177505265827811,3,0.6240980122869088,0.6597199724805053,predictions on style transfer text,0.6240980122869088
7,0.534842686840393,3,0.534842686840393,0.534842686840393,random baseline,0.534842686840393
8,0.382249473417219,3,0.3926376687219065,0.4112795919361674,inverted baseline,0.382249473417219
9,0.6668026775769472,4,0.6713712707582309,0.6821630922439665,predictions on style transfer text,0.6713712707582309
10,0.5342030679650195,4,0.5342030679650195,0.5342030679650195,random baseline,0.5342030679650195
11,0.3331973224230527,4,0.3420459504503371,0.37595613283218887,inverted baseline,0.3331973224230527
12,0.6329800725636586,5,0.639185295295018,0.672770140499438,predictions on style transfer text,0.639185295295018
13,0.5351955800130129,5,0.5351955800130129,0.5351955800130129,random baseline,0.5351955800130129
14,0.3670199274363414,5,0.37781899803481334,0.3976001861881526,inverted baseline,0.3670199274363414
15,0.5991795233736588,6,0.6059610546008662,0.6267415286433202,predictions on style transfer text,0.6059610546008662
16,0.5366071527034926,6,0.5366071527034926,0.5366071527034926,random baseline,0.5366071527034926
17,0.4008204766263413,6,0.41084457132888547,0.43910692167389664,inverted baseline,0.4008204766263413
18,0.5979664530927778,7,0.6040847264247127,0.646535931137955,predictions on style transfer text,0.6040847264247127
19,0.5367174318199363,7,0.5367174318199363,0.5367174318199363,random baseline,0.5367174318199363
20,0.4020335469072222,7,0.41134552892950965,0.42636146976650785,inverted baseline,0.4020335469072222
